amount,day,hour,timestamp
12.619864304560874,5,15,2015-09-05 15:00:00
12.770859538784066,5,16,2015-09-05 16:00:00
12.53919055649241,5,17,2015-09-05 17:00:00
12.337428029104714,5,18,2015-09-05 18:00:00
12.331431870669746,5,19,2015-09-05 19:00:00
12.412865853658536,5,20,2015-09-05 20:00:00
12.268841927303464,5,21,2015-09-05 21:00:00
13.33049425594443,5,22,2015-09-05 22:00:00
13.88804467871486,5,23,2015-09-05 23:00:00
12.880389268805892,6,0,2015-09-06 00:00:00
12.243256146369355,6,1,2015-09-06 01:00:00
12.341032974427996,6,2,2015-09-06 02:00:00
13.074742582897033,6,3,2015-09-06 03:00:00
13.07198906016907,6,4,2015-09-06 04:00:00
13.079633401221997,6,5,2015-09-06 05:00:00
13.346331444759207,6,6,2015-09-06 06:00:00
13.547842190016102,6,7,2015-09-06 07:00:00
13.076523994811932,6,8,2015-09-06 08:00:00
12.044014084507042,6,9,2015-09-06 09:00:00
11.939340813464236,6,10,2015-09-06 10:00:00
12.053325415676959,6,11,2015-09-06 11:00:00
12.26365096359743,6,12,2015-09-06 12:00:00
12.0793893129771,6,13,2015-09-06 13:00:00
12.539301903898457,6,14,2015-09-06 14:00:00
12.563609715242881,6,15,2015-09-06 15:00:00
12.63507201245621,6,16,2015-09-06 16:00:00
12.720176095916074,6,17,2015-09-06 17:00:00
12.644011976047903,6,18,2015-09-06 18:00:00
12.078068916008615,6,19,2015-09-06 19:00:00
12.170379394361294,6,20,2015-09-06 20:00:00
12.64318118466899,6,21,2015-09-06 21:00:00
13.50838957567658,6,22,2015-09-06 22:00:00
13.426351811706411,6,23,2015-09-06 23:00:00
12.864584373885123,7,0,2015-09-07 00:00:00
12.328787096774194,7,1,2015-09-07 01:00:00
12.442280298678922,7,2,2015-09-07 02:00:00
12.89936449963477,7,3,2015-09-07 03:00:00
13.442943201376936,7,4,2015-09-07 04:00:00
14.76461224489796,7,5,2015-09-07 05:00:00
14.358270893371756,7,6,2015-09-07 06:00:00
13.621019108280255,7,7,2015-09-07 07:00:00
13.037468030690537,7,8,2015-09-07 08:00:00
12.832522796352585,7,9,2015-09-07 09:00:00
12.410970464135021,7,10,2015-09-07 10:00:00
12.11816880180859,7,11,2015-09-07 11:00:00
12.508932038834951,7,12,2015-09-07 12:00:00
12.770787992495311,7,13,2015-09-07 13:00:00
12.702839756592292,7,14,2015-09-07 14:00:00
12.93164975738862,7,15,2015-09-07 15:00:00
12.721966101694916,7,16,2015-09-07 16:00:00
13.052121335504888,7,17,2015-09-07 17:00:00
12.363131500742943,7,18,2015-09-07 18:00:00
12.50066502463054,7,19,2015-09-07 19:00:00
12.096793831168831,7,20,2015-09-07 20:00:00
12.626101987899741,7,21,2015-09-07 21:00:00
12.221140035906643,7,22,2015-09-07 22:00:00
13.008310077519381,7,23,2015-09-07 23:00:00
13.194996331621422,8,0,2015-09-08 00:00:00
11.664780023781212,8,1,2015-09-08 01:00:00
11.65116696588869,8,2,2015-09-08 02:00:00
12.043186274509804,8,3,2015-09-08 03:00:00
14.489302325581395,8,4,2015-09-08 04:00:00
17.20230403800475,8,5,2015-09-08 05:00:00
14.803101182654402,8,6,2015-09-08 06:00:00
12.924845488257109,8,7,2015-09-08 07:00:00
13.155360691144708,8,8,2015-09-08 08:00:00
13.050087796312555,8,9,2015-09-08 09:00:00
12.869875311720698,8,10,2015-09-08 10:00:00
12.652315400843882,8,11,2015-09-08 11:00:00
12.189979123173277,8,12,2015-09-08 12:00:00
12.419748559455211,8,13,2015-09-08 13:00:00
12.681919534658265,8,14,2015-09-08 14:00:00
12.732473776223777,8,15,2015-09-08 15:00:00
12.62087515054195,8,16,2015-09-08 16:00:00
12.510210876803551,8,17,2015-09-08 17:00:00
11.560141604855025,8,18,2015-09-08 18:00:00
11.54028826355525,8,19,2015-09-08 19:00:00
11.26054335690361,8,20,2015-09-08 20:00:00
11.894514584240314,8,21,2015-09-08 21:00:00
13.701682692307692,8,22,2015-09-08 22:00:00
13.459185441941074,8,23,2015-09-08 23:00:00
12.875657686212362,9,0,2015-09-09 00:00:00
13.140480446927373,9,1,2015-09-09 01:00:00
10.951456310679612,9,2,2015-09-09 02:00:00
11.97966573816156,9,3,2015-09-09 03:00:00
13.767447916666667,9,4,2015-09-09 04:00:00
15.19468085106383,9,5,2015-09-09 05:00:00
14.488861386138614,9,6,2015-09-09 06:00:00
13.012678132678133,9,7,2015-09-09 07:00:00
12.920007355645458,9,8,2015-09-09 08:00:00
13.76958,9,9,2015-09-09 09:00:00
13.125999081304547,9,10,2015-09-09 10:00:00
12.82016210739615,9,11,2015-09-09 11:00:00
