distance,day,hour,timestamp
2.886986166007905,5,13,2015-09-05 13:00:00
2.9685119538334708,5,14,2015-09-05 14:00:00
2.984956652845835,5,15,2015-09-05 15:00:00
3.076240391334731,5,16,2015-09-05 16:00:00
2.9405767284991566,5,17,2015-09-05 17:00:00
2.95372034166403,5,18,2015-09-05 18:00:00
2.9953290993071593,5,19,2015-09-05 19:00:00
3.032829822616408,5,20,2015-09-05 20:00:00
3.0065934065934066,5,21,2015-09-05 21:00:00
3.381715201709858,5,22,2015-09-05 22:00:00
3.631378012048193,5,23,2015-09-05 23:00:00
3.2279721199368754,6,0,2015-09-06 00:00:00
3.1356203544882795,6,1,2015-09-06 01:00:00
3.156221399730821,6,2,2015-09-06 02:00:00
3.39195462478185,6,3,2015-09-06 03:00:00
3.3331178518150173,6,4,2015-09-06 04:00:00
3.627179226069246,6,5,2015-09-06 05:00:00
3.723810198300283,6,6,2015-09-06 06:00:00
3.6421417069243156,6,7,2015-09-06 07:00:00
3.5733073929961088,6,8,2015-09-06 08:00:00
3.0992341549295777,6,9,2015-09-06 09:00:00
3.051556802244039,6,10,2015-09-06 10:00:00
3.030540380047506,6,11,2015-09-06 11:00:00
3.0253961456102783,6,12,2015-09-06 12:00:00
2.952644492911668,6,13,2015-09-06 13:00:00
3.081926563916591,6,14,2015-09-06 14:00:00
3.0659128978224452,6,15,2015-09-06 15:00:00
3.0921954067730635,6,16,2015-09-06 16:00:00
3.1629524166354432,6,17,2015-09-06 17:00:00
3.136896794646002,6,18,2015-09-06 18:00:00
2.9587042354630295,6,19,2015-09-06 19:00:00
2.9793699965193174,6,20,2015-09-06 20:00:00
3.1389442508710803,6,21,2015-09-06 21:00:00
3.3883595055128635,6,22,2015-09-06 22:00:00
3.4828522762465157,6,23,2015-09-06 23:00:00
3.348062789867998,7,0,2015-09-07 00:00:00
3.1803483870967746,7,1,2015-09-07 01:00:00
3.197030442274555,7,2,2015-09-07 02:00:00
3.290284879474069,7,3,2015-09-07 03:00:00
3.565017211703959,7,4,2015-09-07 04:00:00
3.9058367346938776,7,5,2015-09-07 05:00:00
3.8703458213256483,7,6,2015-09-07 06:00:00
3.8015605095541405,7,7,2015-09-07 07:00:00
3.4292199488491044,7,8,2015-09-07 08:00:00
3.339929078014184,7,9,2015-09-07 09:00:00
3.2058818565400844,7,10,2015-09-07 10:00:00
2.997776940467219,7,11,2015-09-07 11:00:00
3.1237993527508094,7,12,2015-09-07 12:00:00
3.2404440275171984,7,13,2015-09-07 13:00:00
3.112104462474645,7,14,2015-09-07 14:00:00
3.1701808557565063,7,15,2015-09-07 15:00:00
3.1786610169491523,7,16,2015-09-07 16:00:00
3.2003745928338767,7,17,2015-09-07 17:00:00
3.0100074294205053,7,18,2015-09-07 18:00:00
2.946481937602627,7,19,2015-09-07 19:00:00
2.8437459415584416,7,20,2015-09-07 20:00:00
3.156114952463267,7,21,2015-09-07 21:00:00
3.0733482944344703,7,22,2015-09-07 22:00:00
3.418568475452196,7,23,2015-09-07 23:00:00
3.515348495964784,8,0,2015-09-08 00:00:00
3.1113793103448275,8,1,2015-09-08 01:00:00
2.8247396768402155,8,2,2015-09-08 02:00:00
3.1758823529411764,8,3,2015-09-08 03:00:00
4.035813953488372,8,4,2015-09-08 04:00:00
4.734964370546318,8,5,2015-09-08 05:00:00
4.151865965834428,8,6,2015-09-08 06:00:00
3.161656365883807,8,7,2015-09-08 07:00:00
3.0119092872570192,8,8,2015-09-08 08:00:00
2.9531782265144866,8,9,2015-09-08 09:00:00
2.8952468827930176,8,10,2015-09-08 10:00:00
2.7838554852320674,8,11,2015-09-08 11:00:00
2.6643684759916493,8,12,2015-09-08 12:00:00
2.734651650078575,8,13,2015-09-08 13:00:00
2.8415511391177897,8,14,2015-09-08 14:00:00
2.7844143356643354,8,15,2015-09-08 15:00:00
2.579096748293858,8,16,2015-09-08 16:00:00
